fiscal_year,Customer,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCounty,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
1992,Defense,M,Medium Vendor,PDuns,NULL,1,1,3596,5431,3,9913577055.0000
1992,Defense,M,Medium Vendor,PID,NULL,0,1,1,1,NULL,25509.0000
1992,Defense,M,Medium Vendor,PID,NULL,1,1,200,200,2,8555095593.0000
1992,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,2,3,NULL,1194956.0000
1992,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1460,4451,NULL,11355774058.0000
1992,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,143,143,1,8026607760.0000
1992,Defense,S,Always Small Vendor,PDuns,NULL,0,0,99,100,1,-26411519.0000
1992,Defense,S,Always Small Vendor,PDuns,NULL,0,1,91,92,NULL,1114799.0000
1992,Defense,S,Always Small Vendor,PDuns,NULL,1,1,4652,28823,8,22245497647.0000
1992,Defense,S,Always Small Vendor,PID,NULL,0,0,1,1,NULL,1162211.0000
1992,Defense,S,Always Small Vendor,PID,NULL,0,1,2,2,NULL,52132.0000
1992,Defense,S,Always Small Vendor,PID,NULL,1,1,123,123,NULL,609613070.0000
1993,Defense,B,Big Five,PDuns,NULL,1,1,3,26,NULL,357445124.0000
1993,Defense,B,Big Five,PID,NULL,1,1,6,6,36,16833823927.0000
1993,Defense,J,Large: Big 5 JV,PID,NULL,1,1,3,3,NULL,671254155.0000
1993,Defense,L,Large Vendor,PDuns,NULL,1,1,22,324,10,1347316692.0000
1993,Defense,L,Large Vendor,PID,NULL,1,1,130,130,340,43258751357.0000
1993,Defense,M,Medium Vendor,PDuns,NULL,0,0,27,27,NULL,-3369148.0000
1993,Defense,M,Medium Vendor,PDuns,NULL,0,1,66,66,3,1223544.0000
1993,Defense,M,Medium Vendor,PDuns,NULL,1,1,3757,29353,610,26339596610.0000
1993,Defense,M,Medium Vendor,PID,NULL,0,1,3,3,NULL,-75236.0000
1993,Defense,M,Medium Vendor,PID,NULL,1,1,212,212,55,8230478085.0000
1993,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1216,4648,325,10696377882.0000
1993,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,155,155,106,9023170999.0000
1993,Defense,S,Always Small Vendor,PDuns,NULL,0,0,57,57,7,-3596929.0000
1993,Defense,S,Always Small Vendor,PDuns,NULL,0,1,63,64,9,2303339.0000
1993,Defense,S,Always Small Vendor,PDuns,NULL,1,1,3353,4252,988,3741077852.0000
1993,Defense,S,Always Small Vendor,PID,NULL,0,1,1,1,NULL,26100.0000
1993,Defense,S,Always Small Vendor,PID,NULL,1,1,136,136,11,877577789.0000
1994,Defense,B,Big Five,PDuns,NULL,1,1,4,29,201,113576668.0000
1994,Defense,B,Big Five,PID,NULL,1,1,5,5,7636,18817857883.0000
1994,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,1,20,248145948.0000
1994,Defense,L,Large Vendor,PDuns,NULL,1,1,30,160,2140,709382114.0000
1994,Defense,L,Large Vendor,PID,NULL,1,1,133,133,35948,40466798844.0000
1994,Defense,M,Medium Vendor,PDuns,NULL,0,0,46,46,69,-51043164.0000
1994,Defense,M,Medium Vendor,PDuns,NULL,0,1,193,195,202,5030626.0000
1994,Defense,M,Medium Vendor,PDuns,NULL,1,1,7724,9579,47539,15365098225.0000
1994,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,2,0.0000
1994,Defense,M,Medium Vendor,PID,NULL,1,1,259,259,9712,8639054831.0000
1994,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,1347,1307484010.0000
1994,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,2195,4273,52773,13163047894.0000
1994,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,134,134,9999,5677096417.0000
1994,Defense,S,Always Small Vendor,PDuns,NULL,0,0,217,218,315,-22773286.0000
1994,Defense,S,Always Small Vendor,PDuns,NULL,0,1,461,461,516,6376383.0000
1994,Defense,S,Always Small Vendor,PDuns,NULL,1,1,15880,16198,57366,11980925194.0000
1994,Defense,S,Always Small Vendor,PID,NULL,0,0,1,1,1,39233.0000
1994,Defense,S,Always Small Vendor,PID,NULL,1,1,158,158,1993,735804905.0000
1994,Other Agencies,L,Large Vendor,PDuns,NULL,1,1,3,4,6,611069.0000
1994,Other Agencies,L,Large Vendor,PID,NULL,1,1,10,10,174,23049750.0000
1994,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,2,2,2,54807.0000
1994,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,150,161,1266,164345511.0000
1994,Other Agencies,M,Medium Vendor,PID,NULL,1,1,4,4,16,4976585.0000
1994,Other Agencies,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,7179,501915543.0000
1994,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,42,100,658,67668077.0000
1994,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,2,2,9,1145841.0000
1994,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,3,3,3,81509.0000
1994,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,146,148,390,38365122.0000
1995,Defense,B,Big Five,PDuns,NULL,1,1,5,46,375,146771861.0000
1995,Defense,B,Big Five,PID,NULL,1,1,6,6,8806,18604012168.0000
1995,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,1,32,231653159.0000
1995,Defense,L,Large Vendor,PDuns,NULL,1,1,42,172,3453,962994789.0000
1995,Defense,L,Large Vendor,PID,NULL,1,1,132,132,36032,35977811333.0000
1995,Defense,M,Medium Vendor,PDuns,NULL,0,0,62,62,88,-6551942.0000
1995,Defense,M,Medium Vendor,PDuns,NULL,0,1,246,247,262,5797672.0000
1995,Defense,M,Medium Vendor,PDuns,NULL,1,1,8237,9819,45714,14395430642.0000
1995,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,1,59222.0000
1995,Defense,M,Medium Vendor,PID,NULL,0,1,1,1,1,27789.0000
1995,Defense,M,Medium Vendor,PID,NULL,1,1,231,231,8086,10284002478.0000
1995,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,2,2,2700,2470804144.0000
1995,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,2,2,4,-1445688.0000
1995,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,5,6,16,-1640722.0000
1995,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,2352,4642,57983,14125624508.0000
1995,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,162,162,13253,6411555589.0000
1995,Defense,S,Always Small Vendor,PDuns,NULL,0,0,183,183,257,-19383024.0000
1995,Defense,S,Always Small Vendor,PDuns,NULL,0,1,623,624,669,10703645.0000
1995,Defense,S,Always Small Vendor,PDuns,NULL,1,1,16333,16418,59333,12142734825.0000
1995,Defense,S,Always Small Vendor,PID,NULL,0,1,2,2,2,-249020.0000
1995,Defense,S,Always Small Vendor,PID,NULL,1,1,174,174,2821,851301440.0000
1995,Other Agencies,L,Large Vendor,PDuns,NULL,1,1,4,6,1499,98706323.0000
1995,Other Agencies,L,Large Vendor,PID,NULL,1,1,15,15,3332,185896579.0000
1995,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,1,1,1,25963.0000
1995,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,225,256,6048,532182241.0000
1995,Other Agencies,M,Medium Vendor,PID,NULL,1,1,5,5,19,9394606.0000
1995,Other Agencies,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,4345,364092767.0000
1995,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,49,102,2002,177276095.0000
1995,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,4,4,650,30946611.0000
1995,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,2,2,2,52321.0000
1995,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,109,110,571,49787634.0000
1996,Defense,NULL,NULL,PDuns,NULL,NULL,NULL,1,1,15,1161504.0000
1996,Defense,B,Big Five,PDuns,NULL,1,1,5,11,285,106524147.0000
1996,Defense,B,Big Five,PID,NULL,1,1,6,6,12734,22106676692.0000
1996,Defense,J,Large: Big 5 JV,PID,NULL,1,1,2,2,77,480900547.0000
1996,Defense,L,Large Vendor,Duns,NULL,1,1,1,1,72,72276628.0000
1996,Defense,L,Large Vendor,PDuns,NULL,0,1,1,8,40,2721394.0000
1996,Defense,L,Large Vendor,PDuns,NULL,1,1,56,294,3532,1069053629.0000
1996,Defense,L,Large Vendor,PID,NULL,1,1,157,157,44060,37970305945.0000
1996,Defense,M,Medium Vendor,PDuns,NULL,0,0,43,43,57,-1731020.0000
1996,Defense,M,Medium Vendor,PDuns,NULL,0,1,420,421,446,11676416.0000
1996,Defense,M,Medium Vendor,PDuns,NULL,1,1,8287,9912,44896,13313101007.0000
1996,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,2,-3503827.0000
1996,Defense,M,Medium Vendor,PID,NULL,0,1,2,2,3,83471.0000
1996,Defense,M,Medium Vendor,PID,NULL,1,1,263,263,6276,4805546285.0000
1996,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,3306,2942679507.0000
1996,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,3,4,8,-1052996.0000
1996,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,9,9,30,-1475486.0000
1996,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,2794,5700,57428,12910091322.0000
1996,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,243,243,21024,9373836920.0000
1996,Defense,S,Always Small Vendor,PDuns,NULL,0,0,198,200,322,-11249998.0000
1996,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1270,1276,1386,29422628.0000
1996,Defense,S,Always Small Vendor,PDuns,NULL,1,1,17364,18377,62159,12396874846.0000
1996,Defense,S,Always Small Vendor,PID,NULL,0,1,4,4,4,155686.0000
1996,Defense,S,Always Small Vendor,PID,NULL,1,1,190,190,2364,874703851.0000
1996,Other Agencies,NULL,NULL,PDuns,NULL,NULL,NULL,1,1,39,3376938.0000
1996,Other Agencies,B,Big Five,PID,NULL,1,1,1,1,1,43625.0000
1996,Other Agencies,L,Large Vendor,PDuns,NULL,1,1,2,2,2,415694.0000
1996,Other Agencies,L,Large Vendor,PID,NULL,1,1,13,13,5211,290057431.0000
1996,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,7,7,7,127870.0000
1996,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,273,313,10700,595699136.0000
1996,Other Agencies,M,Medium Vendor,PID,NULL,1,1,6,6,28,8444019.0000
1996,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,78,146,4292,201639441.0000
1996,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,3,3,1608,82022173.0000
1996,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,1,1,1,25634.0000
1996,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,77,77,231,36163812.0000
1997,Defense,NULL,NULL,PID,NULL,NULL,NULL,1,1,11,6079744.0000
1997,Defense,B,Big Five,PDuns,NULL,1,1,4,26,185,56502780.0000
1997,Defense,B,Big Five,PID,NULL,1,1,6,6,19508,32137825761.0000
1997,Defense,J,Large: Big 5 JV,PID,NULL,1,1,4,4,83,777473053.0000
1997,Defense,L,Large Vendor,PDuns,NULL,1,1,61,230,2153,759646439.0000
1997,Defense,L,Large Vendor,PID,NULL,0,0,1,1,1,-39000.0000
1997,Defense,L,Large Vendor,PID,NULL,1,1,179,179,46350,29224869450.0000
1997,Defense,M,Medium Vendor,Duns,NULL,1,1,1,1,116,119725780.0000
1997,Defense,M,Medium Vendor,PDuns,NULL,0,0,49,49,74,-2792924.0000
1997,Defense,M,Medium Vendor,PDuns,NULL,0,1,518,518,555,13869021.0000
1997,Defense,M,Medium Vendor,PDuns,NULL,1,1,7829,9072,34452,10553854344.0000
1997,Defense,M,Medium Vendor,PID,NULL,0,1,1,1,1,27960.0000
1997,Defense,M,Medium Vendor,PID,NULL,1,1,398,398,9061,6694977865.0000
1997,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,2,2,2861,2697298445.0000
1997,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,1,1,2,1270.0000
1997,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,13,16,28,591973.0000
1997,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,2603,4484,42811,8400097228.0000
1997,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,391,391,31838,11845124251.0000
1997,Defense,S,Always Small Vendor,PDuns,NULL,0,0,208,208,305,-4977054.0000
1997,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1314,1317,1447,39292462.0000
1997,Defense,S,Always Small Vendor,PDuns,NULL,1,1,16824,17183,59516,11256413432.0000
1997,Defense,S,Always Small Vendor,PID,NULL,0,0,1,1,1,26195.0000
1997,Defense,S,Always Small Vendor,PID,NULL,0,1,11,11,11,302662.0000
1997,Defense,S,Always Small Vendor,PID,NULL,1,1,297,297,4173,1405960742.0000
1997,Other Agencies,B,Big Five,PID,NULL,1,1,2,2,3,605329.0000
1997,Other Agencies,L,Large Vendor,PDuns,NULL,1,1,3,5,599,41436203.0000
1997,Other Agencies,L,Large Vendor,PID,NULL,1,1,11,11,6614,445680905.0000
1997,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,6,6,6,168279.0000
1997,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,212,244,7765,416380898.0000
1997,Other Agencies,M,Medium Vendor,PID,NULL,1,1,12,12,105,27901993.0000
1997,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,75,157,4482,236039018.0000
1997,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,6,6,35,2005250.0000
1997,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,0,1,1,1,32853.0000
1997,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,10,10,10,274359.0000
1997,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,125,127,539,51293214.0000
1998,Defense,NULL,NULL,PDuns,NULL,NULL,NULL,1,1,2,430215.0000
1998,Defense,NULL,NULL,PID,NULL,NULL,NULL,1,1,14,5654107.0000
1998,Defense,B,Big Five,PDuns,NULL,1,1,3,7,91,69528455.0000
1998,Defense,B,Big Five,PID,NULL,1,1,5,5,20702,36132486815.0000
1998,Defense,J,Large: Big 5 JV,PID,NULL,1,1,4,4,101,765214663.0000
1998,Defense,L,Large Vendor,Duns,NULL,1,1,1,1,133,146644780.0000
1998,Defense,L,Large Vendor,PDuns,NULL,0,1,1,3,4,179024.0000
1998,Defense,L,Large Vendor,PDuns,NULL,1,1,60,277,3330,775959574.0000
1998,Defense,L,Large Vendor,PID,NULL,0,1,1,1,1,29204.0000
1998,Defense,L,Large Vendor,PID,NULL,1,1,181,181,49347,27158386167.0000
1998,Defense,M,Medium Vendor,PDuns,NULL,0,0,34,34,45,-2433945.0000
1998,Defense,M,Medium Vendor,PDuns,NULL,0,1,462,464,491,15369226.0000
1998,Defense,M,Medium Vendor,PDuns,NULL,1,1,6984,8061,33248,9654864950.0000
1998,Defense,M,Medium Vendor,PID,NULL,0,1,10,10,11,311881.0000
1998,Defense,M,Medium Vendor,PID,NULL,1,1,431,431,10636,7636809575.0000
1998,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,2480,2266586927.0000
1998,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,11,11,24,669303.0000
1998,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,2385,4092,40226,8222531848.0000
1998,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,1,2,52103.0000
1998,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,429,429,35050,12373536253.0000
1998,Defense,S,Always Small Vendor,Duns,NULL,1,1,1,1,1,294364.0000
1998,Defense,S,Always Small Vendor,PDuns,NULL,0,0,188,188,278,-9681808.0000
1998,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1379,1384,1563,46429803.0000
1998,Defense,S,Always Small Vendor,PDuns,NULL,1,1,15787,16117,57548,10618189691.0000
1998,Defense,S,Always Small Vendor,PID,NULL,0,0,1,1,1,-31300.0000
1998,Defense,S,Always Small Vendor,PID,NULL,0,1,6,6,6,168219.0000
1998,Defense,S,Always Small Vendor,PID,NULL,1,1,309,309,3154,1083942324.0000
1998,Defense,U,Unlabeled Vendor,Duns,NULL,1,1,1,1,7,3759749.0000
1998,Other Agencies,L,Large Vendor,PDuns,NULL,1,1,3,3,50,1834588.0000
1998,Other Agencies,L,Large Vendor,PID,NULL,1,1,14,14,7819,481093115.0000
1998,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,5,5,5,129865.0000
1998,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,219,248,5967,362984008.0000
1998,Other Agencies,M,Medium Vendor,PID,NULL,1,1,12,12,50,19376007.0000
1998,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,61,144,3936,214052169.0000
1998,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,8,8,40,3405434.0000
1998,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,0,1,1,1,-312175.0000
1998,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,8,8,8,247893.0000
1998,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,132,136,893,84270497.0000
1999,Defense,NULL,NULL,PID,NULL,NULL,NULL,1,1,45,22486306.0000
1999,Defense,B,Big Five,PDuns,NULL,1,1,4,22,154,185135721.0000
1999,Defense,B,Big Five,PID,NULL,1,1,5,5,21259,37961326457.0000
1999,Defense,J,Large: Big 5 JV,PID,NULL,1,1,5,5,149,1355152574.0000
1999,Defense,L,Large Vendor,Duns,NULL,1,1,1,1,146,138402938.0000
1999,Defense,L,Large Vendor,PDuns,NULL,1,1,47,140,1430,348419645.0000
1999,Defense,L,Large Vendor,PID,NULL,0,0,1,1,1,-30813.0000
1999,Defense,L,Large Vendor,PID,NULL,0,1,1,1,1,28160.0000
1999,Defense,L,Large Vendor,PID,NULL,1,1,188,188,53564,28640888918.0000
1999,Defense,M,Medium Vendor,PDuns,NULL,0,0,41,41,60,-5355235.0000
1999,Defense,M,Medium Vendor,PDuns,NULL,0,1,509,512,552,23310620.0000
1999,Defense,M,Medium Vendor,PDuns,NULL,1,1,6515,7445,30993,10069299090.0000
1999,Defense,M,Medium Vendor,PID,NULL,0,1,5,5,5,142390.0000
1999,Defense,M,Medium Vendor,PID,NULL,1,1,488,488,11739,7744258615.0000
1999,Defense,M,Medium Vendor,PID,0,1,1,1,1,16,4325551.0000
1999,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,2,2,2352,1504768827.0000
1999,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,12,16,25,594025.0000
1999,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,2257,3857,40004,7724072849.0000
1999,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,1,2,52000.0000
1999,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,467,467,38933,13221689977.0000
1999,Defense,S,Always Small Vendor,PDuns,NULL,0,0,159,159,271,-1963146.0000
1999,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1514,1517,1640,36236841.0000
1999,Defense,S,Always Small Vendor,PDuns,NULL,1,1,16468,16791,61969,11696851095.0000
1999,Defense,S,Always Small Vendor,PID,NULL,0,0,3,3,4,16820.0000
1999,Defense,S,Always Small Vendor,PID,NULL,0,1,10,10,10,281893.0000
1999,Defense,S,Always Small Vendor,PID,NULL,1,1,384,384,4481,1506459406.0000
1999,Defense,U,Unlabeled Vendor,Duns,NULL,1,1,1,1,22,8184964.0000
1999,NASA,M,Medium Vendor,PID,0,1,1,1,1,1,1378437222.4000
1999,Other Agencies,L,Large Vendor,PDuns,NULL,1,1,3,3,16,711943.0000
1999,Other Agencies,L,Large Vendor,PID,NULL,1,1,16,16,7402,458308055.0000
1999,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,2,2,2,55240.0000
1999,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,206,248,7089,377092286.0000
1999,Other Agencies,M,Medium Vendor,PID,NULL,1,1,11,11,60,14729874.0000
1999,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,52,133,3802,192830235.0000
1999,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,7,7,56,3484792.0000
1999,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,0,2,2,3,-72946.0000
1999,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,13,13,15,263797.0000
1999,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,147,152,1087,88637444.0000
1999,Other Agencies,S,Always Small Vendor,PID,NULL,1,1,2,2,3,1253586.0000
2000,Defense,NULL,NULL,PID,NULL,NULL,NULL,1,1,51,26507414.0000
