Fiscal Year,Contracting Agency ID,Contracting Agency Name,Product or Service Code,Product or Service Description,Base and Exercised Options Value,Base and All Options Value (Total Contract Value),Non Government Dollars,Dollars Obligated,Number of Actions,Number of Records
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,B544,TECHNOLOGY STUDIES,"$211,437,490.00 ","$211,437,490.00 ",$0.00 ,"$211,437,490.00 ",2 ,2 
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,R499,OTHER PROFESSIONAL SERVICES,"$25,290,548.00 ","$25,290,548.00 ",$0.00 ,"$25,290,548.00 ",3 ,3 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISC ALARM, SIGNAL, SEC SYSTEMS","$35,206,636.00 ","$35,206,636.00 ",$0.00 ,"$35,206,636.00 ",1 ,1 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,C119,OTHER BUILDINGS,"$97,550,422.00 ","$97,550,422.00 ",$0.00 ,"$97,550,422.00 ",2 ,2 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,ENGINEERING DRAFTING SERVICES,"$12,964,750.00 ","$12,964,750.00 ",$0.00 ,"$12,964,750.00 ",2 ,2 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,C215,A/E PROD ENG SVCS (INCL DESIGN-CONT,"$8,773,200.00 ","$8,773,200.00 ",$0.00 ,"$8,773,200.00 ",1 ,1 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,OTHER ARCHITECTS & ENGIN GEN,"$142,498,505.00 ","$142,498,505.00 ",$0.00 ,"$142,498,505.00 ",4 ,4 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,INSTALL OF ALARM & SIGNAL SYSTEM,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALL OF PHOTOGRAPHIC EQ,"$60,489,403.19 ","$60,489,403.19 ",$0.00 ,"$60,489,403.19 ",16 ,16 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,OTHER PROFESSIONAL SERVICES,"$883,019.59 ","$917,954.11 ","($7,344.56)","$425,683.99 ",27 ,27 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,X129,LEASE-RENT OF OTHER AIRFIELD STRUCT,"$4,026.00 ","$16,104.00 ",$0.00 ,"$4,026.00 ",1 ,1 
2009,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"$50,000,000.00 ","$50,000,000.00 ",$0.00 ,"$50,000,000.00 ",3 ,3 
2010,2100,DEPT OF THE ARMY,1550,DRONES,$0.00 ,$0.00 ,$0.00 ,"$5,135,000.00 ",4 ,4 
2010,2100,DEPT OF THE ARMY,5810,COMM SECURITY EQ & COMPS,"$2,646,236.00 ","$2,646,236.00 ",$0.00 ,"$2,646,236.00 ",2 ,2 
2010,2100,DEPT OF THE ARMY,7030,ADP SOFTWARE,"$1,000,000.00 ","$1,000,000.00 ",$0.00 ,"$1,000,000.00 ",1 ,1 
2010,2100,DEPT OF THE ARMY,AC43,R&D-TANK - AUTOMOTIVE-ADV DEV,"$1,800,000.00 ","$1,800,000.00 ",$0.00 ,"$1,800,000.00 ",1 ,1 
2010,2100,DEPT OF THE ARMY,AC54,WEAPONS (ENGINEERING),"$127,157,790.44 ","$127,157,790.44 ",$0.00 ,"$127,157,790.44 ",14 ,14 
2010,2100,DEPT OF THE ARMY,AD24,SERVICES (ENGINEERING),"$1,397,083.52 ","$1,397,083.52 ",$0.00 ,"$982,560.00 ",3 ,3 
2010,2100,DEPT OF THE ARMY,AD94,OTHER DEFENSE (ENGINEERING),"$15,880,122.28 ","$35,880,122.28 ",$0.00 ,"$15,880,122.28 ",9 ,9 
2010,2100,DEPT OF THE ARMY,AZ17,R&D-OTHER R & D-COMERCLIZ,"$3,179,172.00 ","$3,179,172.00 ",$0.00 ,"$3,179,172.00 ",2 ,2 
2010,2100,DEPT OF THE ARMY,R799,OTHER MANAGEMENT SUPPORT SERVICES,"$173,050.00 ","$19,000,000.00 ",$0.00 ,"$173,050.00 ",2 ,2 
2010,5700,DEPT OF THE AIR FORCE,AD93,OTHER DEFENSE (ADVANCED),"$490,000.00 ","$490,000.00 ",$0.00 ,"$145,000.00 ",2 ,2 
2010,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D-OTHER ENVIRONMENT-ENG DEV,"$9,250,000.00 ","$9,250,000.00 ",$0.00 ,"$9,250,000.00 ",1 ,1 
2010,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,ENGINEERING (APPLIED/EXPLORATORY),"($952,346.00)","($952,346.00)",$0.00 ,"($952,346.00)",13 ,13 
2010,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D-OTHER R & D-B RES,"$3,475,730.00 ","$3,475,730.00 ",$0.00 ,"$3,475,730.00 ",2 ,2 
2010,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ13,R&D-OTHER R & D-ADV DEV,"$5,961,386.15 ","$5,961,386.15 ",$0.00 ,"$5,961,386.15 ",9 ,9 
2010,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,PROGRAM MANAGEMENT/SUPPORT SERVICES,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2010,7001,OFFICE OF PROCUREMENT OPERATIONS,R499,OTHER PROFESSIONAL SERVICES,"$909,266.00 ","$909,266.00 ",$0.00 ,"$909,266.00 ",2 ,2 
2010,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISC ALARM, SIGNAL, SEC SYSTEMS","$45,431,845.00 ","$45,431,845.00 ",$0.00 ,"$45,431,845.00 ",1 ,1 
2010,7013,TRANSPORTATION SECURITY ADMINISTRATION,AD64,CONSTRUCTION (ENGINEERING),"$1,496,061.00 ","$1,496,061.00 ","$1,496,061.00 ","$1,496,061.00 ",1 ,1 
2010,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,ENGINEERING DRAFTING SERVICES,"$14,303,230.00 ","$14,303,230.00 ",$0.00 ,$0.00 ,1 ,1 
2010,7013,TRANSPORTATION SECURITY ADMINISTRATION,C215,A/E PROD ENG SVCS (INCL DESIGN-CONT,"$28,342,067.00 ","$28,342,067.00 ",$0.00 ,"$28,342,067.00 ",1 ,1 
2010,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,OTHER ARCHITECTS & ENGIN GEN,"$104,074,112.00 ","$104,074,112.00 ",$0.00 ,"$104,074,112.00 ",5 ,5 
2010,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALL OF PHOTOGRAPHIC EQ,"$26,630,397.52 ","$26,630,397.52 ",$0.00 ,"$26,630,397.52 ",14 ,14 
2010,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,OTHER PROFESSIONAL SERVICES,"$4,000,302.72 ","$4,000,302.72 ","$14,030.00 ","$1,248,677.03 ",35 ,35 
2010,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"$155,351,649.00 ","$155,351,649.00 ",$0.00 ,"$155,351,649.00 ",12 ,12 
2010,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,OTHER DEFENSE (APPLIED/EXPLORATORY),$0.00 ,$0.00 ,$0.00 ,"($3,907,541.00)",1 ,1 
2010,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,OTHER DEFENSE (APPLIED/EXPLORATORY),"$74,716,494.00 ","$126,504,548.00 ","$64,069,659.00 ","$47,258,390.00 ",18 ,18 
2011,2100,DEPT OF THE ARMY,1550,DRONES,"$22,439,018.00 ","$13,716,927.00 ",$0.00 ,"$121,184,342.40 ",29 ,29 
2011,2100,DEPT OF THE ARMY,5810,COMM SECURITY EQ & COMPS,"$1,840,000.00 ","$1,840,000.00 ",$0.00 ,"$1,840,000.00 ",2 ,2 
2011,2100,DEPT OF THE ARMY,AC43,R&D-TANK - AUTOMOTIVE-ADV DEV,"$3,600,000.00 ","$3,600,000.00 ",$0.00 ,"$3,600,000.00 ",1 ,1 
2011,2100,DEPT OF THE ARMY,AC54,WEAPONS (ENGINEERING),"$106,379,652.72 ","$106,379,652.72 ",$0.00 ,"$106,379,652.72 ",30 ,30 
2011,2100,DEPT OF THE ARMY,AD14,AMMUNITION (ENGINEERING),($633.00),($633.00),$0.00 ,($633.00),1 ,1 
2011,2100,DEPT OF THE ARMY,AD24,SERVICES (ENGINEERING),"$676,055.44 ","$676,055.44 ",$0.00 ,"$1,090,578.96 ",4 ,4 
2011,2100,DEPT OF THE ARMY,AD94,OTHER DEFENSE (ENGINEERING),"$28,103,965.18 ","$28,103,965.18 ",$0.00 ,"$28,103,965.18 ",20 ,20 
2011,2100,DEPT OF THE ARMY,AS22,R&D-TRANS- MOTOR VEH-A RES/EXPL DEV,"$103,317.00 ","$103,317.00 ",$0.00 ,"$103,317.00 ",1 ,1 
2011,2100,DEPT OF THE ARMY,AZ17,R&D-OTHER R & D-COMERCLIZ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2011,2100,DEPT OF THE ARMY,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,"$50,000.00 ","$50,000.00 ",$0.00 ,"$50,000.00 ",2 ,2 
2011,2100,DEPT OF THE ARMY,R425,ENGINEERING AND TECHNICAL SERVICES,"$1,958,838.69 ","$1,958,838.69 ",$0.00 ,"$1,958,838.69 ",6 ,6 
2011,2100,DEPT OF THE ARMY,R799,OTHER MANAGEMENT SUPPORT SERVICES,"$1,236,486.00 ","$57,000,000.00 ",$0.00 ,"$1,236,486.00 ",4 ,4 
2011,5700,DEPT OF THE AIR FORCE,AD93,OTHER DEFENSE (ADVANCED),$0.00 ,$0.00 ,$0.00 ,"$195,000.00 ",3 ,3 
2011,7001,OFFICE OF PROCUREMENT OPERATIONS,6120,TRANSFORMERS - DISTRIB & POWER STA,"$2,788,169.00 ","$2,788,169.00 ",$0.00 ,"$2,788,169.00 ",2 ,2 
2011,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D-OTHER ENVIRONMENT-ENG DEV,"$3,735,000.00 ","$3,735,000.00 ",$0.00 ,"$3,135,000.00 ",3 ,3 
2011,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,ENGINEERING (APPLIED/EXPLORATORY),"$4,410,304.00 ","$4,410,304.00 ",$0.00 ,"$4,410,304.00 ",3 ,3 
2011,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D-OTHER R & D-B RES,"$999,950.00 ","$999,950.00 ",$0.00 ,"$999,950.00 ",2 ,2 
2011,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ13,R&D-OTHER R & D-ADV DEV,"$1,451,623.00 ","$1,451,623.00 ",$0.00 ,"$1,451,623.00 ",8 ,8 
2011,7001,OFFICE OF PROCUREMENT OPERATIONS,R499,OTHER PROFESSIONAL SERVICES,"$1,453,322.00 ","$1,453,322.00 ",$0.00 ,"$1,453,322.00 ",1 ,1 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,3910,CONVEYORS,"$377,000.00 ","$377,000.00 ",$0.00 ,"$377,000.00 ",1 ,1 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISC ALARM, SIGNAL, SEC SYSTEMS","$6,226,425.00 ","$6,226,425.00 ",$0.00 ,"$6,226,425.00 ",2 ,2 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,B546,STUDY/SECURITY (PHYSICAL & PERSONAL,"$928,100.00 ","$928,100.00 ",$0.00 ,"$928,100.00 ",3 ,3 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,C119,OTHER BUILDINGS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,ENGINEERING DRAFTING SERVICES,"$15,667,932.00 ","$15,667,932.00 ",$0.00 ,"$15,667,932.00 ",4 ,4 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,OTHER ARCHITECTS & ENGIN GEN,"$131,617,816.00 ","$131,617,816.00 ",$0.00 ,"$131,617,816.00 ",14 ,14 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,INSTALL OF ALARM & SIGNAL SYSTEM,"$1,377,500.00 ","$1,377,500.00 ",$0.00 ,"$1,377,500.00 ",2 ,2 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALL OF PHOTOGRAPHIC EQ,"$24,234,307.15 ","$24,234,307.15 ",$0.00 ,"$24,234,307.15 ",21 ,21 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,OTHER PROFESSIONAL SERVICES,"$329,735,488.70 ","$343,751,669.15 ","$81,533.29 ","$91,986,654.44 ",853 ,853 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,U008,TRAINING/CURRICULUM DEVELOPMENT,"$1,732,636.00 ","$1,732,636.00 ",$0.00 ,"$1,732,636.00 ",2 ,2 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,X125,LEASE/RENTAL OF AIRPORT TERMINALS,"$23,152.00 ","$23,244.00 ",$0.00 ,"$23,152.00 ",3 ,3 
2011,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"$251,836,070.08 ","$251,836,070.08 ",$0.00 ,"$185,698,865.08 ",16 ,16 
2011,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,OTHER DEFENSE (APPLIED/EXPLORATORY),"$9,511,968.00 ",$0.00 ,$0.00 ,"$65,790,468.88 ",9 ,9 
2011,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,OTHER DEFENSE (APPLIED/EXPLORATORY),"$47,960,358.00 ","$13,794,474.00 ","$3,510,958.00 ","$61,127,824.00 ",47 ,47 
2011,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,OTHER DEFENSE (OPERATIONAL),"$374,728.00 ","$749,549.00 ",$0.00 ,"$374,728.00 ",1 ,1 
2012,2100,DEPT OF THE ARMY,1550,UNMANNED AIRCRAFT,"$69,438,600.04 ","$69,438,600.04 ",$0.00 ,"$66,608,104.64 ",24 ,24 
2012,2100,DEPT OF THE ARMY,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"$728,000.00 ","$728,000.00 ",$0.00 ,"$728,000.00 ",1 ,1 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,6120,TRANSFORMERS: DISTRIBUTION AND POWER STATION,"$1,119,246.00 ","$1,119,246.00 ",$0.00 ,"$1,119,246.00 ",1 ,1 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$549,894.00 ","$549,894.00 ",$0.00 ,"$549,894.00 ",3 ,3 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,6710,"CAMERAS, MOTION PICTURE","$3,454,978.17 ","$3,454,978.17 ",$0.00 ,"$3,454,978.17 ",6 ,6 
2012,2100,DEPT OF THE ARMY,A,RESEARCH AND DEVELOPMENT,"$630,000.00 ","$630,000.00 ",$0.00 ,$0.00 ,2 ,2 
2012,2100,DEPT OF THE ARMY,AC14,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),"$4,320,000.00 ","$4,320,000.00 ",$0.00 ,"$4,320,000.00 ",1 ,1 
2012,2100,DEPT OF THE ARMY,AC43,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ADVANCED DEVELOPMENT),"$49,336,316.00 ","$60,000,000.00 ",$0.00 ,"$49,336,316.00 ",1 ,1 
2012,2100,DEPT OF THE ARMY,AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),"$269,774,135.22 ","$856,938,236.40 ",$0.00 ,"$269,774,135.22 ",30 ,30 
2012,2100,DEPT OF THE ARMY,AD24,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),"$99,778.00 ","$99,778.00 ",$0.00 ,"$99,778.00 ",1 ,1 
2012,5700,DEPT OF THE AIR FORCE,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$18,040,481.00 ","$18,040,481.00 ",$0.00 ,"$1,637,530.00 ",1 ,1 
2012,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$24,060,319.00 ","$10,301,214.00 ","$3,909,277.00 ","$16,073,573.33 ",7 ,7 
2012,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$44,497,450.00 ","$64,161,757.00 ","($30,018,045.00)","$37,385,727.00 ",44 ,44 
2012,5700,DEPT OF THE AIR FORCE,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$600,000.00 ","$600,000.00 ",$0.00 ,"$260,000.00 ",4 ,4 
2012,2100,DEPT OF THE ARMY,AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$25,888,422.17 ","$26,711,941.17 ",$0.00 ,"$25,388,422.17 ",20 ,20 
2012,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$1,373,053.00 ","$2,241,527.00 ",$0.00 ,"$1,373,053.00 ",7 ,7 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT),"($125,000.00)","($125,000.00)",$0.00 ,"$475,000.00 ",3 ,3 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$3,317,002.00 ","$3,317,002.00 ",$0.00 ,"$3,317,002.00 ",4 ,4 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"($1,635,294.29)","($1,635,294.29)",$0.00 ,"($1,635,294.29)",3 ,3 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"$69,758.00 ","$69,758.00 ",$0.00 ,"$69,758.00 ",4 ,4 
2012,2100,DEPT OF THE ARMY,AZ17,R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED),$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,B504,SPECIAL STUDIES/ANALYSIS- CHEMICAL/BIOLOGICAL,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,B544,SPECIAL STUDIES/ANALYSIS- TECHNOLOGY,"($19,999.99)","($19,999.99)",$0.00 ,"($19,999.99)",2 ,2 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,B546,SPECIAL STUDIES/ANALYSIS- SECURITY (PHYSICAL/PERSONAL),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
